time,lon,lat
00:07:32,98.7682,17.6797
00:07:33,98.7683,17.6797
00:07:34,98.7683,17.6798
00:07:35,98.7684,17.6798
00:07:36,98.7685,17.6798
00:07:37,98.7685,17.6798
00:07:38,98.7686,17.6798
00:07:39,98.7686,17.6798
00:07:40,98.7686,17.6798
00:07:41,98.7686,17.6798
00:07:42,98.7687,17.6798
00:07:43,98.7687,17.6798
00:07:44,98.7687,17.6798
00:07:45,98.7687,17.6798
00:07:46,98.7687,17.6798
00:07:47,98.7687,17.6798
00:07:48,98.7687,17.6798
00:07:49,98.7686,17.6798
00:07:50,98.7686,17.6797
00:07:51,98.7686,17.6796
00:07:52,98.7686,17.6795
00:07:53,98.7685,17.6794
00:07:54,98.7685,17.6794
00:07:55,98.7685,17.6793
00:07:56,98.7684,17.6792
00:07:57,98.7684,17.6791
00:07:58,98.7684,17.679
00:07:59,98.7683,17.6789
00:08:00,98.7683,17.6788
00:08:01,98.7683,17.6787
00:08:02,98.7683,17.6786
00:08:03,98.7682,17.6786
00:08:04,98.7682,17.6786
00:08:05,98.7682,17.6785
00:08:06,98.7682,17.6785
00:08:07,98.7683,17.6785
00:08:08,98.7683,17.6784
00:08:09,98.7683,17.6784
00:08:10,98.7683,17.6783
00:08:11,98.7683,17.6782
00:08:12,98.7683,17.6781
00:08:13,98.7683,17.6781
00:08:14,98.7683,17.678
00:08:15,98.7683,17.6779
00:08:16,98.7683,17.6779
00:08:17,98.7683,17.6779
00:08:18,98.7684,17.6779
00:08:19,98.7684,17.678
00:08:20,98.7684,17.678
00:08:21,98.7684,17.678
00:08:22,98.7684,17.678
00:08:23,98.7684,17.678
00:08:24,98.7683,17.678
00:08:25,98.7683,17.678
00:08:26,98.7683,17.678
00:08:27,98.7683,17.678
00:08:28,98.7683,17.678
00:08:29,98.7683,17.678
00:08:30,98.7683,17.678
00:08:31,98.7683,17.678
00:08:32,98.7683,17.678
00:08:33,98.7683,17.678
00:08:34,98.7683,17.678
